,response,noun,gender,nounclass,predicate1,predicate1English,predicate2,predicate2English,class1,class2,slide_number,condition,assess,age,education,language,region,dialect,enjoyment,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id
25,1.0,carota,Male,food,giallo,yellow,polacco,Polish,color,nationality,28,AAN,Yes,29,2,Italiano ,Sardegna ,Sardo,2,,Chrome,Linux,1143,686,5.109166666666667,33
0,0.76,ventilatore,Male,furniture,morbido,soft,tedesco,German,texture,nationality,3,NAA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
1,0.78,scrivania,Male,furniture,corto,short,cattivo,bad,size,quality,4,NAA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
2,0.11,mela,Male,food,rotondo,round,vecchio,old,shape,age,5,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
3,0.1,mela,Male,food,viola,purple,fantastico,wonderful,color,quality,6,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
4,0.24,ventilatore,Male,furniture,tedesco,German,duro,hard,nationality,texture,7,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
5,0.38,sedia,Male,furniture,rosso,red,piccolo,small,color,size,8,AAN,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
6,0.71,televisore,Male,furniture,fresco,fresh,viola,purple,age,color,9,AAN,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
7,0.21,carota,Male,food,corto,short,giallo,yellow,size,color,10,NAA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
8,0.18,ventilatore,Male,furniture,marrone,brown,polacco,Polish,color,nationality,11,NAA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
9,0.74,pomodoro,Male,food,vecchio,old,marrone,brown,age,color,12,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
10,0.17,formaggio,Male,food,corto,short,liscio,smooth,size,texture,13,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
11,0.18,televisore,Male,furniture,fantastico,wonderful,minuscolo,tiny,quality,size,14,AAN,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
12,0.78,divano,Male,furniture,piccolo,small,rotondo,round,size,shape,15,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
13,0.16,sedia,Male,furniture,morbido,soft,marrone,brown,texture,color,16,AAN,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
14,0.14,carota,Male,food,grande,big,fresco,fresh,size,age,17,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
15,0.82,divano,Male,furniture,cattivo,bad,quadrato,square,quality,shape,18,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
16,0.2,carota,Male,food,duro,hard,rosso,red,texture,color,19,NAA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
17,0.76,pomodoro,Male,food,rosso,red,morbido,soft,color,texture,20,NAA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
18,0.77,carota,Male,food,morbido,soft,grande,big,texture,size,21,AAN,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
19,0.74,carota,Male,food,morbido,soft,fresco,fresh,texture,age,22,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
20,0.55,sedia,Male,furniture,corto,short,duro,hard,size,texture,23,NAA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
21,0.72,banana,Male,food,rosso,red,tedesco,German,color,nationality,24,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
22,0.14,carota,Male,food,gigantesco,huge,nuovo,new,size,age,25,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
23,0.14,formaggio,Male,food,morbido,soft,tedesco,German,texture,nationality,26,AAN,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
24,0.59,pomodoro,Male,food,marcio,rotten,lungo,long,age,size,27,AAN,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
25,0.75,televisore,Male,furniture,verde,green,francese,French,color,nationality,28,ANA,Yes,23,2,Italiano,Veneto,,2,,Chrome,Windows,1080,1920,4.17295,34
0,0.48,ventilatore,Male,furniture,quadrato,square,gigantesco,huge,shape,size,3,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
1,0.49,mela,Male,food,marrone,brown,vecchio,old,color,age,4,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
2,0.48,scrivania,Male,furniture,francese,French,fresco,fresh,nationality,age,5,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
3,0.36,formaggio,Male,food,rotondo,round,lungo,long,shape,size,6,ANA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
4,0.58,mela,Male,food,nuovo,new,lungo,long,age,size,7,ANA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
5,0.49,pomodoro,Male,food,fantastico,wonderful,polacco,Polish,quality,nationality,8,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
6,0.5,ventilatore,Male,furniture,tedesco,German,vecchio,old,nationality,age,9,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
7,0.49,carota,Male,food,vecchio,old,duro,hard,age,texture,10,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
8,0.32,televisore,Male,furniture,cattivo,bad,viola,purple,quality,color,11,NAA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
9,0.29,sedia,Male,furniture,corto,short,morbido,soft,size,texture,12,ANA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
10,0.0,formaggio,Male,food,rotondo,round,vecchio,old,shape,age,13,ANA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
11,0.49,pomodoro,Male,food,marrone,brown,vecchio,old,color,age,14,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
12,0.5,scrivania,Male,furniture,marcio,rotten,piccolo,small,age,size,15,NAA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
13,0.47,ventilatore,Male,furniture,tedesco,German,rosso,red,nationality,color,16,ANA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
14,0.0,sedia,Male,furniture,polacco,Polish,grande,big,nationality,size,17,ANA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
15,0.1,formaggio,Male,food,nuovo,new,viola,purple,age,color,18,NAA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
16,0.45,banana,Male,food,liscio,smooth,minuscolo,tiny,texture,size,19,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
17,0.5,carota,Male,food,liscio,smooth,rosso,red,texture,color,20,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
18,0.66,ventilatore,Male,furniture,verde,green,morbido,soft,color,texture,21,NAA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
19,0.46,pomodoro,Male,food,vecchio,old,marrone,brown,age,color,22,NAA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
20,1.0,pomodoro,Male,food,minuscolo,tiny,rotondo,round,size,shape,23,ANA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
21,0.4,pomodoro,Male,food,lungo,long,polacco,Polish,size,nationality,24,NAA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
22,1.0,ventilatore,Male,furniture,vecchio,old,quadrato,square,age,shape,25,ANA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
23,0.71,pomodoro,Male,food,rosso,red,rotondo,round,color,shape,26,NAA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
24,0.6,sedia,Male,furniture,francese,French,cattivo,bad,nationality,quality,27,NAA,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
25,0.48,mela,Male,food,gigantesco,huge,blu,blue,size,color,28,AAN,Yes,25,3,Italiano,Campania,,1,"Per questo studio avete ricevuto l'input di un collega italiano? Non è stato specificato lo scopo di questo studio, quindi magari l'artificiosità delle frasi era voluta, ma crea come un senso di frustrazione non vedere una frase che ""suona bene"". Anche perché frasi come ""il formaggio rotondo lungo"" non hanno senso. (Come fa ad essere lungo se è tondo poi???)",Chrome,Windows,1080,1920,8.051366666666667,35
0,0.0,sedia,Other,furniture,vecchio,old,fantastico,wonderful,age,quality,3,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
1,0.99,televisore,Other,furniture,vecchio,old,quadrato,square,age,shape,4,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
2,0.02,scrivania,Other,furniture,polacco,Polish,fresco,fresh,nationality,age,5,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
3,0.97,formaggio,Other,food,nuovo,new,fantastico,wonderful,age,quality,6,NAA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
4,0.98,formaggio,Other,food,nuovo,new,minuscolo,tiny,age,size,7,NAA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
5,0.02,scrivania,Other,furniture,francese,French,cattivo,bad,nationality,quality,8,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
6,0.04,formaggio,Other,food,cattivo,bad,grande,big,quality,size,9,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
7,0.01,divano,Other,furniture,quadrato,square,minuscolo,tiny,shape,size,10,NAA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
8,0.03,televisore,Other,furniture,marcio,rotten,gigantesco,huge,age,size,11,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
9,0.58,divano,Other,furniture,corto,short,tedesco,German,size,nationality,12,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
10,0.02,scrivania,Other,furniture,tedesco,German,quadrato,square,nationality,shape,13,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
11,1.0,banana,Other,food,blu,blue,rotondo,round,color,shape,14,NAA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
12,0.48,ventilatore,Other,furniture,blu,blue,francese,French,color,nationality,15,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
13,0.71,mela,Other,food,cattivo,bad,viola,purple,quality,color,16,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
14,0.88,scrivania,Other,furniture,gigantesco,huge,tedesco,German,size,nationality,17,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
15,0.0,scrivania,Other,furniture,tedesco,German,grande,big,nationality,size,18,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
16,0.0,sedia,Other,furniture,blu,blue,nuovo,new,color,age,19,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
17,0.99,scrivania,Other,furniture,rotondo,round,marcio,rotten,shape,age,20,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
18,0.77,pomodoro,Other,food,marcio,rotten,piccolo,small,age,size,21,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
19,0.99,formaggio,Other,food,nuovo,new,morbido,soft,age,texture,22,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
20,0.98,scrivania,Other,furniture,lungo,long,francese,French,size,nationality,23,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
21,0.01,mela,Other,food,polacco,Polish,duro,hard,nationality,texture,24,NAA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
22,0.95,scrivania,Other,furniture,lungo,long,marrone,brown,size,color,25,ANA,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
23,0.97,formaggio,Other,food,piccolo,small,quadrato,square,size,shape,26,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
24,0.01,ventilatore,Other,furniture,quadrato,square,piccolo,small,shape,size,27,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
25,0.99,carota,Other,food,marrone,brown,gigantesco,huge,color,size,28,AAN,Yes,29,3,italiano,toscana,no,0,,Chrome,Mac,1050,1680,2.7749333333333333,36
0,0.97,formaggio,Female,food,duro,hard,gigantesco,huge,texture,size,3,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
1,0.99,televisore,Female,furniture,tedesco,German,rosso,red,nationality,color,4,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
2,0.99,televisore,Female,furniture,liscio,smooth,rotondo,round,texture,shape,5,ANA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
3,0.75,divano,Female,furniture,corto,short,fresco,fresh,size,age,6,AAN,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
4,0.8,divano,Female,furniture,cattivo,bad,liscio,smooth,quality,texture,7,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
5,0.01,carota,Female,food,polacco,Polish,fantastico,wonderful,nationality,quality,8,ANA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
6,0.03,televisore,Female,furniture,liscio,smooth,piccolo,small,texture,size,9,ANA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
7,0.77,televisore,Female,furniture,quadrato,square,polacco,Polish,shape,nationality,10,ANA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
8,0.99,mela,Female,food,fresco,fresh,quadrato,square,age,shape,11,ANA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
9,0.73,divano,Female,furniture,duro,hard,rosso,red,texture,color,12,AAN,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
10,0.29,scrivania,Female,furniture,liscio,smooth,giallo,yellow,texture,color,13,ANA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
11,0.76,scrivania,Female,furniture,fresco,fresh,corto,short,age,size,14,AAN,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
12,0.94,carota,Female,food,rotondo,round,cattivo,bad,shape,quality,15,ANA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
13,0.94,ventilatore,Female,furniture,vecchio,old,blu,blue,age,color,16,AAN,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
14,0.13,banana,Female,food,blu,blue,cattivo,bad,color,quality,17,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
15,0.98,sedia,Female,furniture,tedesco,German,quadrato,square,nationality,shape,18,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
16,0.96,scrivania,Female,furniture,liscio,smooth,verde,green,texture,color,19,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
17,0.78,pomodoro,Female,food,liscio,smooth,fantastico,wonderful,texture,quality,20,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
18,0.27,formaggio,Female,food,francese,French,cattivo,bad,nationality,quality,21,AAN,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
19,0.78,scrivania,Female,furniture,morbido,soft,cattivo,bad,texture,quality,22,AAN,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
20,0.26,formaggio,Female,food,cattivo,bad,fresco,fresh,quality,age,23,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
21,0.31,mela,Female,food,marcio,rotten,quadrato,square,age,shape,24,AAN,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
22,0.79,mela,Female,food,morbido,soft,lungo,long,texture,size,25,AAN,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
23,0.63,mela,Female,food,giallo,yellow,polacco,Polish,color,nationality,26,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
24,0.76,formaggio,Female,food,morbido,soft,vecchio,old,texture,age,27,NAA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
25,0.89,mela,Female,food,piccolo,small,polacco,Polish,size,nationality,28,ANA,Yes,48,3,italiano,Veneto,molisano,1,,Chrome,Windows,768,1366,3.6411166666666666,37
0,0.23,banana,Male,food,francese,French,rotondo,round,nationality,shape,3,NAA,Yes,21,1,Italiano,Napoli,Napoletano,1,,Chrome,Windows,979,1739,5.17215,38
1,1.0,televisore,Male,furniture,fantastico,wonderful,blu,blue,quality,color,4,ANA,Yes,21,1,Italiano,Napoli,Napoletano,1,,Chrome,Windows,979,1739,5.17215,38
2,0.65,mela,Male,food,vecchio,old,polacco,Polish,age,nationality,5,AAN,Yes,21,1,Italiano,Napoli,Napoletano,1,,Chrome,Windows,979,1739,5.17215,38
3,0.16,carota,Male,food,nuovo,new,rotondo,round,age,shape,6,NAA,Yes,21,1,Italiano,Napoli,Napoletano,1,,Chrome,Windows,979,1739,5.17215,38
4,0.81,pomodoro,Male,food,vecchio,old,lungo,long,age,size,7,AAN,Yes,21,1,Italiano,Napoli,Napoletano,1,,Chrome,Windows,979,1739,5.17215,38
5,0.86,pomodoro,Male,food,rotondo,round,corto,short,shape,size,8,NAA,Yes,21,1,Italiano,Napoli,Napoletano,1,,Chrome,Windows,979,1739,5.17215,38
6,0.0,televisore,Male,furniture,gigantesco,huge,rotondo,round,size,shape,9,NAA,Yes,21,1,Italiano,Napoli,Napoletano,1,,Chrome,Windows,979,1739,5.17215,38
7,0.14,banana,Male,food,grande,big,duro,hard,size,texture,10,AAN,Yes,21,1,Italiano,Napoli,Napoletano,1,,Chrome,Windows,979,1739,5.17215,38
