predicate1,workerid,class1,response,Answer.time_in_minutes,noun,nounclass,class2,predicate2,slide_number
tiny,16,size,1,2.7931833333333334,desk,furniture,material,plastic,22
round,16,shape,1,2.7931833333333334,desk,furniture,color,red,23
hard,16,texture,1,2.7931833333333334,couch,furniture,material,metal,24
brown,16,color,1,2.7931833333333334,tomato,food,material,wooden,25
plastic,16,material,1,2.7931833333333334,tomato,food,color,purple,26
long,16,size,0,2.7931833333333334,fan,furniture,age,new,27
red,16,color,0,2.7931833333333334,TV,furniture,size,huge,28
smooth,17,texture,0.54,1.3537666666666666,cheese,food,material,plastic,3
big,17,size,0.34,1.3537666666666666,chair,furniture,color,green,4
good,17,quality,0.71,1.3537666666666666,fan,furniture,color,green,5
hard,17,texture,0.24,1.3537666666666666,carrot,food,color,brown,6
good,17,quality,0.45,1.3537666666666666,cheese,food,size,short,7
good,17,quality,0.63,1.3537666666666666,desk,furniture,texture,hard,8
bad,17,quality,0.76,1.3537666666666666,chair,furniture,age,new,9
soft,17,texture,0.71,1.3537666666666666,banana,food,shape,square,10
wooden,17,material,0.62,1.3537666666666666,apple,food,age,fresh,11
metal,17,material,0.56,1.3537666666666666,apple,food,age,new,12
blue,17,color,0.42,1.3537666666666666,fan,furniture,material,plastic,13
short,17,size,0.23,1.3537666666666666,TV,furniture,color,red,14
round,17,shape,0.88,1.3537666666666666,chair,furniture,color,yellow,15
round,17,shape,0.74,1.3537666666666666,desk,furniture,material,plastic,16
purple,17,color,0.59,1.3537666666666666,banana,food,material,metal,17
new,17,age,0.55,1.3537666666666666,TV,furniture,color,green,18
smooth,17,texture,0.4,1.3537666666666666,apple,food,color,purple,19
new,17,age,0.92,1.3537666666666666,fan,furniture,quality,good,20
huge,17,size,0.74,1.3537666666666666,carrot,food,texture,smooth,21
fresh,17,age,0.54,1.3537666666666666,tomato,food,color,red,22
red,17,color,0.39,1.3537666666666666,desk,furniture,age,fresh,23
wooden,17,material,0.39,1.3537666666666666,carrot,food,color,purple,24
fresh,17,age,0.58,1.3537666666666666,carrot,food,size,long,25
blue,17,color,0.77,1.3537666666666666,banana,food,age,new,26
purple,17,color,0.49,1.3537666666666666,banana,food,shape,round,27
red,17,color,0.83,1.3537666666666666,fan,furniture,age,new,28
tiny,18,size,0.55,2.3383333333333334,TV,furniture,age,fresh,3
good,18,quality,0.48,2.3383333333333334,carrot,food,size,tiny,4
tiny,18,size,0.73,2.3383333333333334,TV,furniture,color,blue,5
soft,18,texture,0.45,2.3383333333333334,fan,furniture,age,fresh,6
blue,18,color,0.7,2.3383333333333334,desk,furniture,size,big,7
blue,18,color,0.57,2.3383333333333334,apple,food,texture,hard,8
short,18,size,0.68,2.3383333333333334,fan,furniture,color,red,9
plastic,18,material,0.68,2.3383333333333334,cheese,food,quality,good,10
huge,18,size,0.67,2.3383333333333334,cheese,food,color,purple,11
huge,18,size,0.79,2.3383333333333334,fan,furniture,material,wooden,12
yellow,18,color,0.45,2.3383333333333334,fan,furniture,shape,round,13
purple,18,color,0.5,2.3383333333333334,tomato,food,shape,square,14
rotten,18,age,0.65,2.3383333333333334,chair,furniture,material,wooden,15
plastic,18,material,0.62,2.3383333333333334,cheese,food,color,red,16
hard,18,texture,0.59,2.3383333333333334,banana,food,color,green,17
bad,18,quality,0.6,2.3383333333333334,tomato,food,texture,soft,18
wooden,18,material,0.62,2.3383333333333334,TV,furniture,texture,soft,19
good,18,quality,0.78,2.3383333333333334,tomato,food,texture,hard,20
square,18,shape,0.7,2.3383333333333334,desk,furniture,size,long,21
small,18,size,0.63,2.3383333333333334,banana,food,color,yellow,22
purple,18,color,0.75,2.3383333333333334,carrot,food,size,short,23
huge,18,size,0.53,2.3383333333333334,cheese,food,texture,soft,24
green,18,color,0.45,2.3383333333333334,fan,furniture,texture,smooth,25
green,18,color,0.54,2.3383333333333334,couch,furniture,age,old,26
huge,18,size,0.69,2.3383333333333334,banana,food,age,new,27
good,18,quality,0.49,2.3383333333333334,tomato,food,age,fresh,28
tiny,19,size,0.97,2.7948666666666666,TV,furniture,age,old,3
blue,19,color,0.01,2.7948666666666666,desk,furniture,texture,hard,4
tiny,19,size,0.94,2.7948666666666666,banana,food,texture,smooth,5
round,19,shape,0.04,2.7948666666666666,couch,furniture,size,tiny,6
huge,19,size,0.95,2.7948666666666666,fan,furniture,quality,bad,7
wooden,19,material,0.06,2.7948666666666666,chair,furniture,color,blue,8
rotten,19,age,0.04,2.7948666666666666,chair,furniture,color,blue,9
tiny,19,size,0.06,2.7948666666666666,TV,furniture,age,old,10
plastic,19,material,0.05,2.7948666666666666,TV,furniture,quality,bad,11
square,19,shape,0.05,2.7948666666666666,desk,furniture,color,green,12
metal,19,material,0.03,2.7948666666666666,carrot,food,shape,round,13
big,19,size,0.92,2.7948666666666666,cheese,food,quality,good,14
short,19,size,0.95,2.7948666666666666,desk,furniture,quality,good,15
red,19,color,0.05,2.7948666666666666,cheese,food,size,big,16
old,19,age,0.93,2.7948666666666666,tomato,food,shape,square,17
green,19,color,0.94,2.7948666666666666,banana,food,age,new,18
plastic,19,material,0.08,2.7948666666666666,banana,food,color,purple,19
wooden,19,material,0.01,2.7948666666666666,banana,food,size,huge,20
hard,19,texture,0.07,2.7948666666666666,desk,furniture,material,wooden,21
rotten,19,age,0.02,2.7948666666666666,couch,furniture,size,long,22
blue,19,color,0.95,2.7948666666666666,banana,food,age,old,23
wooden,19,material,0.03,2.7948666666666666,desk,furniture,shape,square,24
metal,19,material,0.06,2.7948666666666666,tomato,food,size,huge,25
short,19,size,0,2.7948666666666666,banana,food,color,yellow,26
hard,19,texture,0.01,2.7948666666666666,tomato,food,color,green,27
brown,19,color,0.95,2.7948666666666666,apple,food,size,short,28
purple,20,color,0,2.960733333333333,apple,food,age,old,3
metal,20,material,0,2.960733333333333,carrot,food,quality,good,4
yellow,20,color,0.95,2.960733333333333,chair,furniture,material,wooden,5
long,20,size,0.97,2.960733333333333,cheese,food,shape,round,6
good,20,quality,0.97,2.960733333333333,fan,furniture,age,fresh,7
wooden,20,material,0.02,2.960733333333333,chair,furniture,quality,bad,8
hard,20,texture,0.96,2.960733333333333,tomato,food,material,wooden,9
plastic,20,material,0,2.960733333333333,cheese,food,size,small,10
metal,20,material,0.02,2.960733333333333,tomato,food,age,old,11
long,20,size,1,2.960733333333333,TV,furniture,shape,round,12
hard,20,texture,0.94,2.960733333333333,desk,furniture,material,plastic,13
huge,20,size,0.98,2.960733333333333,couch,furniture,shape,round,14
soft,20,texture,0.97,2.960733333333333,carrot,food,material,wooden,15
blue,20,color,0.04,2.960733333333333,apple,food,size,big,16
yellow,20,color,0.04,2.960733333333333,desk,furniture,shape,round,17
metal,20,material,0.03,2.960733333333333,cheese,food,age,fresh,18
yellow,20,color,0.04,2.960733333333333,tomato,food,texture,smooth,19
round,20,shape,0.01,2.960733333333333,apple,food,quality,bad,20
wooden,20,material,0.04,2.960733333333333,desk,furniture,age,new,21
new,20,age,0.95,2.960733333333333,carrot,food,size,huge,22
long,20,size,0.95,2.960733333333333,carrot,food,color,green,23
rotten,20,age,0.97,2.960733333333333,fan,furniture,shape,round,24
hard,20,texture,0.96,2.960733333333333,desk,furniture,color,brown,25
soft,20,texture,0.04,2.960733333333333,couch,furniture,size,long,26
tiny,20,size,0.94,2.960733333333333,tomato,food,color,yellow,27
old,20,age,0.95,2.960733333333333,couch,furniture,size,long,28
brown,21,color,0,3.6571333333333333,TV,furniture,size,huge,3
purple,21,color,1,3.6571333333333333,desk,furniture,shape,round,4
huge,21,size,0,3.6571333333333333,tomato,food,color,yellow,5
red,21,color,0.99,3.6571333333333333,couch,furniture,quality,bad,6
plastic,21,material,0.98,3.6571333333333333,chair,furniture,quality,good,7
brown,21,color,0.99,3.6571333333333333,apple,food,material,plastic,8
bad,21,quality,0.02,3.6571333333333333,banana,food,shape,square,9
old,21,age,0.99,3.6571333333333333,chair,furniture,color,purple,10
round,21,shape,0.98,3.6571333333333333,chair,furniture,material,wooden,11
round,21,shape,0.01,3.6571333333333333,carrot,food,quality,bad,12
green,21,color,0.02,3.6571333333333333,fan,furniture,material,metal,13
new,21,age,0.99,3.6571333333333333,carrot,food,color,brown,14
smooth,21,texture,0.01,3.6571333333333333,fan,furniture,age,new,15
brown,21,color,0,3.6571333333333333,tomato,food,shape,square,16
new,21,age,0.99,3.6571333333333333,apple,food,shape,round,17
yellow,21,color,0.01,3.6571333333333333,cheese,food,age,old,18
new,21,age,0.99,3.6571333333333333,fan,furniture,shape,square,19
big,21,size,1,3.6571333333333333,apple,food,color,red,20
red,21,color,0.02,3.6571333333333333,chair,furniture,material,plastic,21
small,21,size,0.98,3.6571333333333333,banana,food,shape,round,22
long,21,size,0.98,3.6571333333333333,tomato,food,shape,square,23
wooden,21,material,0.02,3.6571333333333333,fan,furniture,size,short,24
wooden,21,material,0.01,3.6571333333333333,fan,furniture,age,fresh,25
green,21,color,0.02,3.6571333333333333,cheese,food,material,wooden,26
yellow,21,color,0.01,3.6571333333333333,apple,food,size,huge,27
bad,21,quality,0.99,3.6571333333333333,carrot,food,age,rotten,28
smooth,22,texture,0.63,2.1024,TV,furniture,shape,round,3
small,22,size,0.72,2.1024,fan,furniture,shape,square,4
good,22,quality,0.4,2.1024,TV,furniture,texture,smooth,5
new,22,age,0.77,2.1024,TV,furniture,texture,smooth,6
big,22,size,0.75,2.1024,apple,food,color,yellow,7
hard,22,texture,0.35,2.1024,desk,furniture,age,fresh,8
round,22,shape,0.73,2.1024,tomato,food,size,tiny,9
good,22,quality,0.63,2.1024,carrot,food,material,plastic,10
wooden,22,material,0.2,2.1024,cheese,food,texture,smooth,11
fresh,22,age,0.63,2.1024,tomato,food,size,short,12
rotten,22,age,0.68,2.1024,TV,furniture,material,metal,13
soft,22,texture,0.68,2.1024,carrot,food,age,fresh,14
fresh,22,age,0.6,2.1024,chair,furniture,color,brown,15
fresh,22,age,0.65,2.1024,carrot,food,material,metal,16
new,22,age,0.58,2.1024,chair,furniture,texture,hard,17
fresh,22,age,0.58,2.1024,chair,furniture,color,red,18
round,22,shape,0.63,2.1024,chair,furniture,color,red,19
soft,22,texture,0.48,2.1024,carrot,food,size,huge,20
long,22,size,0.58,2.1024,desk,furniture,color,red,21
tiny,22,size,0.63,2.1024,carrot,food,color,brown,22
fresh,22,age,0.56,2.1024,apple,food,size,small,23
short,22,size,0.7,2.1024,apple,food,material,plastic,24
wooden,22,material,0.68,2.1024,cheese,food,texture,hard,25
big,22,size,0.57,2.1024,tomato,food,color,purple,26
yellow,22,color,0.66,2.1024,banana,food,age,fresh,27
wooden,22,material,0.7,2.1024,TV,furniture,texture,hard,28
wooden,23,material,0.78,26.40035,desk,furniture,age,rotten,3
brown,23,color,0.91,26.40035,banana,food,quality,bad,4
green,23,color,0,26.40035,apple,food,texture,hard,5
wooden,23,material,0.09,26.40035,tomato,food,age,rotten,6
tiny,23,size,0.87,26.40035,apple,food,shape,square,7
rotten,23,age,0.05,26.40035,apple,food,size,huge,8
plastic,23,material,0.08,26.40035,chair,furniture,size,tiny,9
short,23,size,0.07,26.40035,couch,furniture,shape,round,10
square,23,shape,0.36,26.40035,banana,food,color,yellow,11
tiny,23,size,0.92,26.40035,cheese,food,color,brown,12
long,23,size,0.95,26.40035,chair,furniture,color,blue,13
small,23,size,0.92,26.40035,cheese,food,color,yellow,14
rotten,23,age,0.65,26.40035,fan,furniture,shape,round,15
smooth,23,texture,0.31,26.40035,TV,furniture,size,long,16
square,23,shape,0.86,26.40035,tomato,food,color,brown,17
hard,23,texture,0.9,26.40035,tomato,food,age,old,18
fresh,23,age,0.82,26.40035,fan,furniture,texture,smooth,19
fresh,23,age,0.92,26.40035,tomato,food,color,blue,20
fresh,23,age,0.93,26.40035,desk,furniture,shape,round,21
soft,23,texture,0.92,26.40035,fan,furniture,material,metal,22
tiny,23,size,0.98,26.40035,fan,furniture,color,yellow,23
good,23,quality,0.84,26.40035,fan,furniture,age,rotten,24
square,23,shape,0.07,26.40035,apple,food,texture,soft,25
rotten,23,age,0.6,26.40035,fan,furniture,color,blue,26
smooth,23,texture,0.15,26.40035,banana,food,size,small,27
metal,23,material,0.02,26.40035,cheese,food,size,tiny,28
square,24,shape,0.03,2.5791833333333334,apple,food,age,new,3
square,24,shape,0.03,2.5791833333333334,apple,food,texture,hard,4
soft,24,texture,0.97,2.5791833333333334,cheese,food,shape,square,5
red,24,color,0.04,2.5791833333333334,chair,furniture,quality,good,6
metal,24,material,0.02,2.5791833333333334,TV,furniture,age,old,7
purple,24,color,1,2.5791833333333334,banana,food,material,metal,8
small,24,size,0.97,2.5791833333333334,fan,furniture,texture,hard,9
hard,24,texture,0.97,2.5791833333333334,banana,food,color,red,10
good,24,quality,0.98,2.5791833333333334,cheese,food,material,wooden,11
yellow,24,color,0.96,2.5791833333333334,chair,furniture,material,metal,12
square,24,shape,0.01,2.5791833333333334,TV,furniture,age,fresh,13
wooden,24,material,0.04,2.5791833333333334,TV,furniture,size,long,14
fresh,24,age,0.97,2.5791833333333334,fan,furniture,color,yellow,15
tiny,24,size,0.99,2.5791833333333334,TV,furniture,color,red,16
plastic,24,material,0.02,2.5791833333333334,chair,furniture,size,small,17
round,24,shape,0.09,2.5791833333333334,couch,furniture,quality,bad,18
tiny,24,size,0.06,2.5791833333333334,desk,furniture,age,fresh,19
small,24,size,0.95,2.5791833333333334,apple,food,shape,square,20
good,24,quality,1,2.5791833333333334,fan,furniture,texture,smooth,21
square,24,shape,0.96,2.5791833333333334,banana,food,material,plastic,22
hard,24,texture,0.05,2.5791833333333334,couch,furniture,color,purple,23
new,24,age,0.95,2.5791833333333334,couch,furniture,texture,smooth,24
brown,24,color,0.98,2.5791833333333334,couch,furniture,texture,smooth,25
brown,24,color,0.98,2.5791833333333334,cheese,food,quality,good,26
big,24,size,0.95,2.5791833333333334,tomato,food,material,metal,27
good,24,quality,0.95,2.5791833333333334,TV,furniture,size,small,28
brown,25,color,1,4.040066666666666,banana,food,material,metal,3
short,25,size,0.99,4.040066666666666,tomato,food,material,plastic,4
hard,25,texture,0.97,4.040066666666666,tomato,food,material,plastic,5
hard,25,texture,0.03,4.040066666666666,apple,food,quality,bad,6
fresh,25,age,0.99,4.040066666666666,TV,furniture,texture,hard,7
square,25,shape,0.97,4.040066666666666,cheese,food,material,metal,8
round,25,shape,0.98,4.040066666666666,desk,furniture,size,short,9
long,25,size,0.02,4.040066666666666,couch,furniture,quality,good,10
long,25,size,0.96,4.040066666666666,carrot,food,material,plastic,11
tiny,25,size,0.97,4.040066666666666,fan,furniture,age,rotten,12
round,25,shape,0.03,4.040066666666666,TV,furniture,size,huge,13
square,25,shape,0.04,4.040066666666666,apple,food,size,small,14
tiny,25,size,0.99,4.040066666666666,fan,furniture,color,purple,15
big,25,size,1,4.040066666666666,tomato,food,color,yellow,16
brown,25,color,0.96,4.040066666666666,desk,furniture,age,fresh,17
bad,25,quality,0.98,4.040066666666666,desk,furniture,age,rotten,18
wooden,25,material,0.02,4.040066666666666,tomato,food,color,purple,19
green,25,color,0,4.040066666666666,couch,furniture,age,old,20
new,25,age,0.98,4.040066666666666,carrot,food,size,short,21
new,25,age,0.94,4.040066666666666,banana,food,shape,square,22
plastic,25,material,0.02,4.040066666666666,TV,furniture,texture,smooth,23
hard,25,texture,0.02,4.040066666666666,chair,furniture,age,new,24
big,25,size,0.99,4.040066666666666,desk,furniture,shape,square,25
hard,25,texture,0.02,4.040066666666666,couch,furniture,quality,good,26
good,25,quality,0.99,4.040066666666666,couch,furniture,texture,hard,27
soft,25,texture,0.95,4.040066666666666,carrot,food,quality,bad,28
bad,26,quality,0.23,10.1638,desk,furniture,size,tiny,3
big,26,size,0.12,10.1638,TV,furniture,color,red,4
new,26,age,0.91,10.1638,cheese,food,material,metal,5
round,26,shape,0.07,10.1638,tomato,food,color,yellow,6
small,26,size,0.85,10.1638,carrot,food,quality,good,7
red,26,color,0.96,10.1638,desk,furniture,age,fresh,8
purple,26,color,0.84,10.1638,couch,furniture,quality,bad,9
rotten,26,age,0.93,10.1638,cheese,food,material,plastic,10
good,26,quality,0.06,10.1638,couch,furniture,material,metal,11
old,26,age,0.15,10.1638,banana,food,material,wooden,12
bad,26,quality,0.85,10.1638,cheese,food,shape,round,13
plastic,26,material,0.13,10.1638,carrot,food,size,short,14
huge,26,size,0.93,10.1638,banana,food,age,old,15
tiny,26,size,0.88,10.1638,desk,furniture,age,fresh,16
fresh,26,age,0.11,10.1638,tomato,food,quality,bad,17
wooden,26,material,0.94,10.1638,TV,furniture,size,tiny,18
fresh,26,age,0.07,10.1638,TV,furniture,color,blue,19
good,26,quality,0.95,10.1638,TV,furniture,size,small,20
long,26,size,0.85,10.1638,fan,furniture,color,purple,21
fresh,26,age,0.94,10.1638,apple,food,shape,round,22
short,26,size,0.13,10.1638,TV,furniture,age,rotten,23
square,26,shape,0.02,10.1638,banana,food,color,green,24
small,26,size,0.12,10.1638,couch,furniture,color,purple,25
old,26,age,0.91,10.1638,chair,furniture,quality,bad,26
brown,26,color,0.87,10.1638,couch,furniture,shape,round,27
new,26,age,0.93,10.1638,chair,furniture,texture,hard,28
metal,27,material,0.14,4.56185,apple,food,shape,round,3
bad,27,quality,0.16,4.56185,couch,furniture,age,new,4
metal,27,material,0.22,4.56185,chair,furniture,color,green,5
red,27,color,0.9,4.56185,apple,food,age,rotten,6
short,27,size,0.81,4.56185,carrot,food,color,yellow,7
huge,27,size,0.8,4.56185,cheese,food,texture,soft,8
long,27,size,0.87,4.56185,banana,food,shape,round,9
good,27,quality,0.3,4.56185,couch,furniture,color,purple,10
wooden,27,material,0.34,4.56185,apple,food,shape,square,11
short,27,size,0.87,4.56185,fan,furniture,age,fresh,12
old,27,age,0.8,4.56185,banana,food,size,huge,13
fresh,27,age,0.8,4.56185,banana,food,quality,bad,14
old,27,age,0.8,4.56185,apple,food,color,green,15
plastic,27,material,0.15,4.56185,carrot,food,color,green,16
fresh,27,age,0.3,4.56185,cheese,food,size,short,17
small,27,size,0.78,4.56185,apple,food,texture,soft,18
old,27,age,0.85,4.56185,carrot,food,texture,hard,19
plastic,27,material,0.15,4.56185,desk,furniture,texture,smooth,20
old,27,age,0.32,4.56185,desk,furniture,size,short,21
red,27,color,0.1,4.56185,banana,food,size,huge,22
red,27,color,0.78,4.56185,couch,furniture,age,old,23
new,27,age,0.76,4.56185,tomato,food,size,tiny,24
blue,27,color,0.12,4.56185,banana,food,texture,hard,25
long,27,size,0.89,4.56185,couch,furniture,color,yellow,26
metal,27,material,0.23,4.56185,fan,furniture,texture,smooth,27
wooden,27,material,0.15,4.56185,chair,furniture,quality,bad,28
huge,28,size,0.77,2.9163,desk,furniture,material,metal,3
tiny,28,size,0.82,2.9163,fan,furniture,quality,good,4
plastic,28,material,0.19,2.9163,fan,furniture,color,brown,5
plastic,28,material,0.1,2.9163,tomato,food,texture,soft,6
new,28,age,0.95,2.9163,cheese,food,size,tiny,7
smooth,28,texture,0.87,2.9163,TV,furniture,shape,square,8
tiny,28,size,0.91,2.9163,tomato,food,texture,smooth,9
round,28,shape,0.87,2.9163,TV,furniture,texture,smooth,10
soft,28,texture,0.94,2.9163,cheese,food,age,new,11
smooth,28,texture,0.84,2.9163,tomato,food,shape,square,12
metal,28,material,0.64,2.9163,tomato,food,color,yellow,13
smooth,28,texture,0.14,2.9163,carrot,food,size,small,14
tiny,28,size,0.11,2.9163,chair,furniture,material,wooden,15
bad,28,quality,0.58,2.9163,desk,furniture,texture,soft,16
big,28,size,0.88,2.9163,apple,food,color,yellow,17
plastic,28,material,0.13,2.9163,tomato,food,size,big,18
short,28,size,0.78,2.9163,desk,furniture,material,metal,19
round,28,shape,0.84,2.9163,couch,furniture,color,blue,20
rotten,28,age,0.58,2.9163,fan,furniture,size,short,21
old,28,age,0.79,2.9163,fan,furniture,texture,soft,22
good,28,quality,0.84,2.9163,carrot,food,size,small,23
blue,28,color,0.52,2.9163,carrot,food,texture,soft,24
bad,28,quality,0.85,2.9163,apple,food,material,metal,25
new,28,age,0.88,2.9163,couch,furniture,color,red,26
yellow,28,color,0.74,2.9163,apple,food,texture,hard,27
red,28,color,0.34,2.9163,cheese,food,texture,soft,28
blue,29,color,0.47,1.9031333333333333,desk,furniture,age,fresh,3
hard,29,texture,0.69,1.9031333333333333,apple,food,size,tiny,4
plastic,29,material,0.67,1.9031333333333333,fan,furniture,age,rotten,5
plastic,29,material,0.55,1.9031333333333333,couch,furniture,size,huge,6
new,29,age,0.79,1.9031333333333333,couch,furniture,quality,good,7
yellow,29,color,0.45,1.9031333333333333,fan,furniture,material,plastic,8
huge,29,size,0.5,1.9031333333333333,tomato,food,color,purple,9
metal,29,material,0.66,1.9031333333333333,banana,food,shape,square,10
brown,29,color,0.65,1.9031333333333333,tomato,food,material,plastic,11
brown,29,color,0.36,1.9031333333333333,couch,furniture,age,new,12
round,29,shape,0.52,1.9031333333333333,cheese,food,color,green,13
square,29,shape,0.68,1.9031333333333333,chair,furniture,color,purple,14
plastic,29,material,0.71,1.9031333333333333,TV,furniture,color,blue,15
smooth,29,texture,0.78,1.9031333333333333,desk,furniture,size,big,16
huge,29,size,0.36,1.9031333333333333,desk,furniture,color,yellow,17
hard,29,texture,0.67,1.9031333333333333,apple,food,shape,square,18
plastic,29,material,0.55,1.9031333333333333,couch,furniture,size,short,19
wooden,29,material,0.67,1.9031333333333333,couch,furniture,shape,round,20
square,29,shape,0.32,1.9031333333333333,carrot,food,size,tiny,21
red,29,color,0.69,1.9031333333333333,TV,furniture,age,old,22
red,29,color,0.65,1.9031333333333333,couch,furniture,age,new,23
hard,29,texture,0.72,1.9031333333333333,banana,food,material,plastic,24
smooth,29,texture,0.76,1.9031333333333333,carrot,food,size,tiny,25
metal,29,material,0.79,1.9031333333333333,couch,furniture,shape,round,26
metal,29,material,0.3,1.9031333333333333,apple,food,texture,hard,27
wooden,29,material,0.28,1.9031333333333333,carrot,food,size,big,28
red,30,color,0.81,3.46385,couch,furniture,quality,bad,3
round,30,shape,0.73,3.46385,cheese,food,texture,hard,4
old,30,age,0.87,3.46385,TV,furniture,texture,hard,5
round,30,shape,0.92,3.46385,couch,furniture,size,small,6
good,30,quality,0.69,3.46385,tomato,food,texture,soft,7
short,30,size,0.86,3.46385,couch,furniture,age,new,8
plastic,30,material,0.64,3.46385,cheese,food,quality,good,9
square,30,shape,0.54,3.46385,chair,furniture,material,metal,10
tiny,30,size,0.61,3.46385,banana,food,quality,good,11
round,30,shape,0.49,3.46385,cheese,food,size,tiny,12
small,30,size,0.89,3.46385,cheese,food,shape,round,13
new,30,age,0.82,3.46385,fan,furniture,texture,hard,14
green,30,color,0.57,3.46385,cheese,food,age,rotten,15
tiny,30,size,0.7,3.46385,chair,furniture,age,new,16
red,30,color,0.88,3.46385,fan,furniture,size,big,17
bad,30,quality,0.39,3.46385,carrot,food,color,brown,18
yellow,30,color,0.88,3.46385,TV,furniture,shape,square,19
hard,30,texture,0.44,3.46385,fan,furniture,color,green,20
small,30,size,0.47,3.46385,apple,food,texture,smooth,21
smooth,30,texture,0.86,3.46385,TV,furniture,material,wooden,22
yellow,30,color,0.54,3.46385,TV,furniture,age,old,23
huge,30,size,0.76,3.46385,banana,food,age,new,24
short,30,size,0.91,3.46385,couch,furniture,color,green,25
short,30,size,0.82,3.46385,couch,furniture,age,old,26
purple,30,color,0.89,3.46385,apple,food,quality,good,27
hard,30,texture,0.95,3.46385,carrot,food,color,purple,28
old,31,age,0.1,2.7340666666666666,banana,food,color,blue,3
short,31,size,0.88,2.7340666666666666,couch,furniture,material,wooden,4
huge,31,size,0.11,2.7340666666666666,chair,furniture,material,wooden,5
long,31,size,0.96,2.7340666666666666,tomato,food,material,wooden,6
wooden,31,material,0.07,2.7340666666666666,apple,food,quality,bad,7
yellow,31,color,0.03,2.7340666666666666,TV,furniture,quality,bad,8
short,31,size,0.15,2.7340666666666666,desk,furniture,quality,good,9
square,31,shape,0.07,2.7340666666666666,banana,food,size,small,10
tiny,31,size,0.08,2.7340666666666666,desk,furniture,quality,good,11
bad,31,quality,0.81,2.7340666666666666,chair,furniture,color,green,12
old,31,age,0.8,2.7340666666666666,tomato,food,color,red,13
smooth,31,texture,0.85,2.7340666666666666,carrot,food,color,purple,14
good,31,quality,0.92,2.7340666666666666,chair,furniture,color,red,15
soft,31,texture,0.18,2.7340666666666666,couch,furniture,size,long,16
square,31,shape,0.86,2.7340666666666666,cheese,food,age,fresh,17
short,31,size,0.87,2.7340666666666666,TV,furniture,color,brown,18
blue,31,color,0.25,2.7340666666666666,TV,furniture,material,metal,19
purple,31,color,0.21,2.7340666666666666,chair,furniture,size,huge,20
square,31,shape,0.09,2.7340666666666666,apple,food,quality,good,21
plastic,31,material,0.07,2.7340666666666666,desk,furniture,texture,soft,22
wooden,31,material,0.11,2.7340666666666666,fan,furniture,texture,smooth,23
green,31,color,0.07,2.7340666666666666,fan,furniture,texture,soft,24
small,31,size,0.92,2.7340666666666666,apple,food,color,purple,25
tiny,31,size,0.04,2.7340666666666666,cheese,food,quality,good,26
square,31,shape,0.68,2.7340666666666666,desk,furniture,age,old,27
red,31,color,0.07,2.7340666666666666,desk,furniture,quality,bad,28
new,32,age,1,2.1935166666666666,TV,furniture,texture,smooth,3
round,32,shape,0,2.1935166666666666,carrot,food,size,long,4
metal,32,material,0.19,2.1935166666666666,carrot,food,color,purple,5
purple,32,color,0,2.1935166666666666,chair,furniture,age,rotten,6
yellow,32,color,0,2.1935166666666666,carrot,food,material,plastic,7
fresh,32,age,0,2.1935166666666666,TV,furniture,texture,hard,8
round,32,shape,1,2.1935166666666666,couch,furniture,material,plastic,9
round,32,shape,1,2.1935166666666666,TV,furniture,quality,bad,10
hard,32,texture,1,2.1935166666666666,chair,furniture,size,tiny,11
huge,32,size,1,2.1935166666666666,fan,furniture,age,new,12
good,32,quality,1,2.1935166666666666,banana,food,age,rotten,13
red,32,color,0,2.1935166666666666,cheese,food,age,rotten,14
metal,32,material,0,2.1935166666666666,cheese,food,shape,round,15
old,32,age,0,2.1935166666666666,couch,furniture,quality,good,16
old,32,age,1,2.1935166666666666,carrot,food,color,purple,17
bad,32,quality,0.51,2.1935166666666666,desk,furniture,shape,round,18
brown,32,color,0,2.1935166666666666,tomato,food,texture,smooth,19
hard,32,texture,0,2.1935166666666666,chair,furniture,age,new,20
plastic,32,material,1,2.1935166666666666,banana,food,color,brown,21
small,32,size,1,2.1935166666666666,desk,furniture,shape,round,22
old,32,age,1,2.1935166666666666,banana,food,color,blue,23
soft,32,texture,0,2.1935166666666666,banana,food,size,big,24
rotten,32,age,1,2.1935166666666666,desk,furniture,color,purple,25
metal,32,material,0,2.1935166666666666,chair,furniture,age,old,26
red,32,color,0,2.1935166666666666,tomato,food,texture,smooth,27
wooden,32,material,1,2.1935166666666666,fan,furniture,color,purple,28
blue,33,color,0.52,4.2022,fan,furniture,quality,good,3
fresh,33,age,0.91,4.2022,carrot,food,color,yellow,4
soft,33,texture,0.79,4.2022,desk,furniture,material,wooden,5
yellow,33,color,0.81,4.2022,cheese,food,age,rotten,6
blue,33,color,1,4.2022,apple,food,material,plastic,7
good,33,quality,0,4.2022,cheese,food,size,long,8
wooden,33,material,1,4.2022,fan,furniture,color,yellow,9
red,33,color,0.24,4.2022,chair,furniture,material,metal,10
tiny,33,size,0.28,4.2022,chair,furniture,quality,good,11
wooden,33,material,0.76,4.2022,tomato,food,color,yellow,12
metal,33,material,0.26,4.2022,TV,furniture,color,green,13
big,33,size,0.69,4.2022,apple,food,texture,soft,14
fresh,33,age,0.33,4.2022,cheese,food,texture,soft,15
round,33,shape,0.25,4.2022,banana,food,texture,hard,16
purple,33,color,0.17,4.2022,fan,furniture,age,new,17
