,class,firstutterance,noun,nounclass,predicate,response,slide_number,language,age,gender,Browser,OS,screenH,screenW,time_in_minutes,participant_id,assess
0,size,negative,cheese,food,long,1.0,3,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
1,age,positive,apple,food,rotten,1.0,4,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
2,color,negative,banana,food,yellow,0.79,5,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
3,quality,positive,desk,furniture,bad,0.0,6,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
4,size,positive,fan,furniture,tiny,0.01,7,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
5,age,negative,chair,furniture,old,0.31,8,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
6,texture,positive,tomato,food,soft,1.0,9,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
7,size,negative,chair,furniture,short,1.0,10,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
8,texture,negative,tomato,food,smooth,1.0,11,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
9,texture,positive,banana,food,hard,1.0,12,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
10,nationality,positive,couch,furniture,American,1.0,13,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
11,nationality,negative,chair,furniture,French,1.0,14,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
12,shape,positive,apple,food,square,1.0,15,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
13,color,negative,apple,food,green,0.77,16,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
14,color,negative,cheese,food,red,1.0,17,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
15,shape,negative,desk,furniture,round,1.0,18,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
16,color,negative,couch,furniture,brown,0.73,19,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
17,quality,negative,tomato,food,good,0.0,20,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
18,size,positive,TV,furniture,small,0.29,21,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
19,nationality,negative,carrot,food,Spanish,0.99,22,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
20,color,negative,tomato,food,purple,0.82,23,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
21,age,negative,cheese,food,fresh,0.39,24,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
22,size,negative,TV,furniture,huge,0.01,25,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
23,color,negative,couch,furniture,blue,0.79,26,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
24,size,positive,banana,food,big,0.8,27,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
25,age,negative,tomato,food,new,0.97,28,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
26,pattern,positive,banana,food,striped,0.62,29,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
27,pattern,negative,fan,furniture,checkered,0.99,30,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
28,pattern,negative,apple,food,dotted,0.96,31,עברית,25,Female,Chrome,Windows,720,1280,3.3571,9,Yes
0,age,positive,banana,food,old,0.98,3,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
1,age,negative,carrot,food,new,0.98,4,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
2,size,positive,couch,furniture,huge,0.99,5,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
3,size,positive,TV,furniture,small,0.99,6,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
4,texture,negative,chair,furniture,smooth,0.98,7,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
5,color,negative,fan,furniture,purple,0.95,8,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
6,size,positive,desk,furniture,short,0.97,9,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
7,size,positive,chair,furniture,big,0.99,10,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
8,texture,negative,fan,furniture,hard,0.95,11,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
9,shape,negative,carrot,food,round,0.92,12,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
10,age,negative,cheese,food,rotten,0.94,13,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
11,age,positive,tomato,food,fresh,0.97,14,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
12,nationality,positive,apple,food,American,0.91,15,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
13,quality,positive,chair,furniture,good,0.04,16,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
14,shape,positive,cheese,food,square,0.93,17,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
15,color,negative,couch,furniture,yellow,0.94,18,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
16,color,negative,couch,furniture,brown,0.92,19,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
17,quality,negative,cheese,food,bad,0.07,20,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
18,color,negative,apple,food,blue,0.98,21,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
19,size,negative,chair,furniture,tiny,0.07,22,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
20,color,negative,couch,furniture,green,0.97,23,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
21,nationality,negative,chair,furniture,French,0.94,24,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
22,texture,positive,cheese,food,soft,0.96,25,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
23,color,negative,couch,furniture,red,0.97,26,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
24,size,negative,chair,furniture,long,0.02,27,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
25,nationality,negative,cheese,food,Spanish,0.92,28,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
26,pattern,positive,TV,furniture,checkered,1.0,29,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
27,pattern,positive,carrot,food,dotted,0.99,30,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
28,pattern,positive,chair,furniture,striped,1.0,31,עברית,22,Male,Safari,iPhone/iPod,568,320,2.28085,10,Yes
0,age,negative,TV,furniture,rotten,0.92,3,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
1,size,negative,banana,food,long,0.01,4,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
2,texture,positive,tomato,food,smooth,0.88,5,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
3,color,positive,couch,furniture,purple,0.97,6,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
4,texture,positive,apple,food,hard,0.42,7,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
5,nationality,negative,apple,food,French,0.8,8,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
6,age,positive,chair,furniture,old,0.28,9,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
7,age,positive,carrot,food,new,0.49,10,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
8,color,negative,couch,furniture,blue,0.98,11,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
9,nationality,positive,banana,food,Spanish,0.83,12,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
10,size,positive,chair,furniture,small,0.39,13,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
11,texture,negative,apple,food,soft,0.72,14,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
12,quality,negative,couch,furniture,bad,0.19,15,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
13,size,positive,banana,food,huge,0.29,16,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
14,age,negative,chair,furniture,fresh,0.97,17,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
15,size,negative,couch,furniture,tiny,0.42,18,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
16,color,negative,carrot,food,red,0.97,19,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
17,size,positive,TV,furniture,short,0.9,20,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
18,shape,positive,cheese,food,round,0.92,21,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
19,color,negative,carrot,food,brown,0.99,22,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
20,color,positive,tomato,food,yellow,0.86,23,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
21,nationality,positive,banana,food,American,0.94,24,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
22,color,positive,couch,furniture,green,0.99,25,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
23,shape,negative,couch,furniture,square,1.0,26,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
24,size,negative,apple,food,big,0.33,27,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
25,quality,negative,tomato,food,good,0.19,28,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
26,pattern,positive,fan,furniture,checkered,1.0,29,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
27,pattern,positive,carrot,food,striped,0.62,30,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
28,pattern,positive,couch,furniture,dotted,1.0,31,עברית,24,Female,Chrome,Windows,720,1280,6.118883333333334,11,Yes
0,nationality,negative,apple,food,American,0.0,3,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
1,quality,positive,couch,furniture,bad,0.01,4,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
2,texture,positive,cheese,food,smooth,0.97,5,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
3,age,negative,apple,food,new,0.03,6,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
4,size,negative,chair,furniture,long,0.05,7,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
5,color,positive,apple,food,brown,0.91,8,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
6,shape,positive,carrot,food,square,0.94,9,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
7,size,positive,tomato,food,small,0.04,10,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
8,color,negative,banana,food,red,1.0,11,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
9,size,positive,fan,furniture,short,0.01,12,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
10,age,negative,couch,furniture,fresh,0.06,13,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
11,color,negative,carrot,food,green,0.96,14,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
12,nationality,negative,apple,food,French,0.06,15,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
13,size,positive,tomato,food,big,0.05,16,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
14,texture,negative,fan,furniture,hard,0.03,17,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
15,quality,negative,carrot,food,good,0.0,18,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
16,color,positive,TV,furniture,purple,0.91,19,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
17,color,positive,fan,furniture,yellow,0.95,20,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
18,color,positive,cheese,food,blue,0.92,21,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
19,texture,positive,tomato,food,soft,0.02,22,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
20,nationality,positive,TV,furniture,Spanish,0.93,23,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
21,age,negative,tomato,food,rotten,0.99,24,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
22,size,positive,TV,furniture,huge,0.04,25,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
23,size,positive,tomato,food,tiny,0.02,26,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
24,shape,negative,chair,furniture,round,0.98,27,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
25,age,positive,fan,furniture,old,0.03,28,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
26,pattern,positive,banana,food,striped,0.94,29,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
27,pattern,positive,cheese,food,dotted,0.95,30,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
28,pattern,positive,cheese,food,checkered,0.97,31,עברית,27,Female,Chrome,Windows,720,1280,3.95355,12,Yes
0,color,positive,chair,furniture,brown,0.73,3,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
1,color,negative,tomato,food,purple,0.96,4,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
2,shape,positive,tomato,food,round,0.49,5,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
3,color,negative,carrot,food,red,0.93,6,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
4,age,positive,chair,furniture,new,0.92,7,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
5,size,negative,TV,furniture,long,0.97,8,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
6,texture,positive,desk,furniture,soft,0.53,9,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
7,age,positive,desk,furniture,fresh,0.98,10,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
8,size,negative,tomato,food,small,0.59,11,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
9,size,negative,desk,furniture,short,0.63,12,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
10,quality,negative,couch,furniture,bad,0.09,13,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
11,nationality,negative,tomato,food,Spanish,0.02,14,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
12,color,positive,fan,furniture,yellow,0.96,15,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
13,texture,negative,apple,food,hard,0.04,16,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
14,shape,negative,apple,food,square,0.92,17,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
15,color,positive,desk,furniture,blue,0.97,18,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
16,quality,positive,apple,food,good,0.06,19,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
17,color,positive,apple,food,green,0.95,20,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
18,nationality,positive,chair,furniture,French,0.2,21,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
19,texture,negative,apple,food,smooth,0.05,22,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
20,nationality,positive,fan,furniture,American,0.97,23,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
21,size,negative,chair,furniture,tiny,0.68,24,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
22,age,positive,chair,furniture,rotten,0.05,25,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
23,size,negative,carrot,food,big,0.96,26,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
24,age,positive,apple,food,old,0.51,27,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
25,size,positive,desk,furniture,huge,0.59,28,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
26,pattern,negative,fan,furniture,checkered,0.95,29,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
27,pattern,negative,apple,food,striped,0.14,30,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
28,pattern,positive,chair,furniture,dotted,0.94,31,עברית,30,Male,Chrome,Windows,768,1280,2.9545,13,Yes
0,color,negative,fan,furniture,red,1.0,3,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
1,size,negative,apple,food,huge,0.0,4,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
2,nationality,positive,apple,food,French,0.0,5,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
3,color,positive,couch,furniture,brown,0.0,6,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
4,color,positive,tomato,food,yellow,0.0,7,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
5,quality,positive,tomato,food,bad,0.0,8,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
6,nationality,positive,carrot,food,American,0.0,9,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
7,shape,negative,TV,furniture,round,0.0,10,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
8,age,positive,banana,food,old,0.0,11,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
9,size,positive,cheese,food,big,0.0,12,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
10,texture,negative,chair,furniture,smooth,0.0,13,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
11,size,positive,chair,furniture,tiny,0.0,14,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
12,nationality,negative,desk,furniture,Spanish,0.0,15,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
13,age,negative,cheese,food,new,0.0,16,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
14,color,negative,couch,furniture,purple,0.0,17,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
15,color,negative,banana,food,green,0.0,18,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
16,shape,negative,fan,furniture,square,0.0,19,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
17,size,positive,apple,food,short,0.0,20,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
18,texture,positive,fan,furniture,soft,0.0,21,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
19,quality,negative,TV,furniture,good,0.0,22,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
20,age,positive,desk,furniture,rotten,0.0,23,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
21,color,positive,TV,furniture,blue,0.0,24,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
22,texture,positive,banana,food,hard,0.0,25,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
23,size,positive,chair,furniture,small,0.0,26,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
24,size,positive,fan,furniture,long,0.0,27,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
25,age,negative,desk,furniture,fresh,0.0,28,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
26,pattern,positive,banana,food,checkered,0.0,29,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
27,pattern,positive,apple,food,dotted,0.0,30,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
28,pattern,negative,tomato,food,striped,0.0,31,עברית,25,Female,Chrome,Windows,720,1280,6.410216666666667,14,Yes
0,size,positive,apple,food,small,0.93,3,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
1,texture,positive,fan,furniture,hard,0.06,4,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
2,size,positive,couch,furniture,huge,0.98,5,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
3,nationality,negative,banana,food,Spanish,0.99,6,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
4,age,positive,desk,furniture,old,0.96,7,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
5,color,positive,banana,food,yellow,0.94,8,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
6,size,positive,chair,furniture,tiny,0.02,9,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
7,size,positive,carrot,food,short,0.96,10,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
8,quality,positive,chair,furniture,good,0.02,11,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
9,age,positive,desk,furniture,new,0.94,12,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
10,nationality,negative,apple,food,American,0.99,13,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
11,shape,positive,cheese,food,square,0.95,14,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
12,color,negative,chair,furniture,red,0.99,15,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
13,color,positive,carrot,food,purple,0.97,16,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
14,color,negative,couch,furniture,blue,0.97,17,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
15,size,negative,desk,furniture,long,0.02,18,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
16,nationality,positive,apple,food,French,0.98,19,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
17,quality,positive,chair,furniture,bad,0.01,20,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
18,shape,positive,apple,food,round,0.98,21,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
19,texture,positive,apple,food,soft,0.01,22,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
20,color,positive,tomato,food,green,0.96,23,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
21,age,negative,desk,furniture,rotten,0.99,24,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
22,size,positive,apple,food,big,0.99,25,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
23,color,positive,apple,food,brown,0.97,26,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
24,texture,negative,carrot,food,smooth,0.04,27,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
25,age,positive,TV,furniture,fresh,0.95,28,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
26,pattern,positive,cheese,food,striped,0.97,29,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
27,pattern,negative,apple,food,checkered,0.96,30,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
28,pattern,negative,fan,furniture,dotted,0.97,31,עברית,31,Female,Chrome,Windows,768,1366,4.518033333333333,15,Yes
0,texture,negative,TV,furniture,hard,0.0,3,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
1,age,positive,couch,furniture,old,0.0,4,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
2,size,positive,banana,food,tiny,0.0,5,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
3,color,negative,cheese,food,red,0.49,6,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
4,age,positive,cheese,food,fresh,0.55,7,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
5,quality,negative,couch,furniture,good,0.0,8,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
6,color,positive,carrot,food,brown,0.54,9,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
7,size,positive,TV,furniture,huge,0.0,10,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
8,size,negative,TV,furniture,big,0.0,11,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
9,texture,positive,chair,furniture,soft,0.11,12,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
10,nationality,positive,TV,furniture,French,0.51,13,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
11,size,negative,cheese,food,short,0.3,14,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
12,age,negative,desk,furniture,new,0.09,15,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
13,nationality,negative,couch,furniture,Spanish,0.65,16,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
14,color,negative,chair,furniture,green,0.59,17,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
15,nationality,positive,desk,furniture,American,0.51,18,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
16,color,positive,banana,food,blue,0.6,19,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
17,size,positive,desk,furniture,small,0.38,20,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
18,shape,negative,apple,food,square,1.0,21,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
19,color,negative,fan,furniture,purple,0.52,22,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
20,size,negative,apple,food,long,0.54,23,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
21,quality,positive,banana,food,bad,0.0,24,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
22,age,positive,carrot,food,rotten,0.44,25,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
23,color,positive,carrot,food,yellow,0.55,26,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
24,texture,positive,cheese,food,smooth,0.91,27,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
25,shape,negative,fan,furniture,round,1.0,28,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
26,pattern,positive,banana,food,checkered,0.88,29,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
27,pattern,negative,tomato,food,dotted,1.0,30,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
28,pattern,positive,banana,food,striped,1.0,31,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
0,color,negative,tomato,food,purple,0.59,3,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
1,texture,positive,banana,food,soft,0.09,4,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
2,age,positive,desk,furniture,rotten,1.0,5,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
3,nationality,positive,desk,furniture,French,0.58,6,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
4,quality,positive,carrot,food,bad,0.0,7,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
